"Date/Time","Lat","Lon"
"2014-08-08 15:58:00",40.7441,-73.9409
"2014-08-08 15:58:00",40.7409,-73.986
"2014-08-08 15:58:00",40.7924,-73.9503
"2014-08-08 15:59:00",40.7674,-73.9848
"2014-08-08 15:59:00",40.7407,-74.0004
"2014-08-08 15:59:00",40.7203,-74.0033
"2014-08-08 15:59:00",40.7459,-73.9721
"2014-08-08 15:59:00",40.7112,-74.0162
"2014-08-08 15:59:00",40.7078,-74.0083
"2014-08-08 15:59:00",40.7477,-73.9976
"2014-08-08 15:59:00",40.7416,-73.9854
"2014-08-08 15:59:00",40.7668,-73.9846
"2014-08-08 15:59:00",40.7352,-73.975
"2014-08-08 15:59:00",40.7739,-73.8715
"2014-08-08 15:59:00",40.7954,-73.932
"2014-08-08 16:00:00",40.7687,-73.9821
"2014-08-08 16:00:00",40.7382,-74.0023
"2014-08-08 16:00:00",40.7873,-73.9717
"2014-08-08 16:00:00",40.7474,-73.9857
"2014-08-08 16:00:00",40.6855,-73.9652
"2014-08-08 16:00:00",40.7242,-73.9968
"2014-08-08 16:01:00",40.7671,-73.9714
"2014-08-08 16:01:00",40.7004,-73.808
"2014-08-08 16:01:00",40.7704,-73.8652
"2014-08-08 16:01:00",40.7707,-73.8657
"2014-08-08 16:01:00",40.7595,-73.9751
"2014-08-08 16:02:00",40.7691,-73.9925
"2014-08-08 16:02:00",40.7583,-73.9798
"2014-08-08 16:02:00",40.7664,-73.9517
"2014-08-08 16:02:00",40.7419,-74.0055
"2014-08-08 16:02:00",40.707,-74.0143
"2014-08-08 16:02:00",40.7407,-73.9787
"2014-08-08 16:02:00",40.7239,-73.9964
"2014-08-08 16:02:00",40.7249,-73.9908
"2014-08-08 16:02:00",40.7943,-73.9666
"2014-08-08 16:03:00",40.7257,-73.9938
"2014-08-08 16:03:00",40.6826,-74.0048
"2014-08-08 16:03:00",40.9406,-73.8279
"2014-08-08 16:03:00",40.7607,-73.9851
"2014-08-08 16:03:00",40.7656,-73.9807
"2014-08-08 16:03:00",40.7493,-73.9724
"2014-08-08 16:03:00",40.7395,-74.0068
"2014-08-08 16:03:00",40.7141,-73.9558
"2014-08-08 16:03:00",40.7644,-73.9709
"2014-08-08 16:03:00",40.7417,-73.9323
"2014-08-08 16:03:00",40.6433,-73.7897
"2014-08-08 16:03:00",40.7259,-73.9998
"2014-08-08 16:04:00",40.7371,-73.989
"2014-08-08 16:04:00",40.7335,-73.9931
"2014-08-08 16:04:00",40.7335,-73.9931
"2014-08-08 16:04:00",40.7481,-74.0039
"2014-08-08 16:04:00",40.704,-73.9674
"2014-08-08 16:04:00",40.7061,-74.0089
"2014-08-08 16:04:00",40.7061,-74.0089
"2014-08-08 16:04:00",40.7276,-73.9959
"2014-08-08 16:04:00",40.7444,-74.0002
"2014-08-08 16:04:00",40.7117,-74.0078
"2014-08-08 16:04:00",40.7224,-73.9995
"2014-08-08 16:04:00",40.7628,-73.9756
"2014-08-08 16:04:00",40.7471,-73.9908
"2014-08-08 16:04:00",40.7387,-73.9999
"2014-08-08 16:04:00",40.7397,-73.9963
"2014-08-08 16:05:00",40.774,-73.8724
"2014-08-08 16:05:00",40.7581,-73.9778
"2014-08-08 16:05:00",40.7299,-73.9751
"2014-08-08 16:05:00",40.7422,-73.9851
"2014-08-08 16:05:00",40.708,-74.0145
"2014-08-08 16:05:00",40.7321,-73.9921
"2014-08-08 16:05:00",40.7561,-73.985
"2014-08-08 16:05:00",40.7579,-73.9735
"2014-08-08 16:05:00",40.7641,-73.9649
"2014-08-08 16:05:00",40.7315,-74.0004
